order_id,customer_id,order_date,total_amount,status,channel
0.0,1364.0,invalid_date,3608,Completed,store
1.0,2256.0,2021/07/29,R 1777,,app
2.0,47.0,invalid_date,,Done,web
3.0,1689.0,1989/11/20,"R1711,55",Done,
4.0,3085.0,,3052,Completed,app
5.0,,,4585,completed,store
6.0,1111.0,1981/02/15,664,,web
7.0,207.0,1995-06-16,,,store
8.0,,1985/10/21,,completed,
9.0,1409.0,1977/01/15,R -200,CANCELLED,store
10.0,4070.0,invalid_date,"R1269,89",CANCELLED,app
11.0,3646.0,,,Done,app
12.0,3910.0,,R 2325,Completed,store
13.0,160.0,1981/03/30,81,completed,
14.0,,2024/12/30,"R214,88",CANCELLED,
15.0,2089.0,04/04/1980,R 1170,completed,
16.0,994.0,2007/06/04,R 4827,Completed,app
17.0,4126.0,,"R287,88",completed,
18.0,4911.0,invalid_date,"R1180,83",CANCELLED,web
19.0,,,R 3427,CANCELLED,store
,,invalid_date,,CANCELLED,app
21.0,3373.0,2018/01/09,,,store
22.0,3800.0,,,,
23.0,3584.0,1997-10-14,R 2036,Done,web
24.0,3336.0,22/07/1982,R -200,Done,app
,2699.0,,R -200,completed,store
26.0,,invalid_date,3103,Done,
27.0,4937.0,invalid_date,1241,completed,web
28.0,3488.0,invalid_date,2262,completed,store
29.0,1646.0,,R -200,Completed,store
30.0,,,R 2249,CANCELLED,
,4016.0,invalid_date,,Completed,app
32.0,3316.0,27/04/1974,,,store
33.0,3572.0,2023-08-21,"R714,8",,app
,1680.0,26/05/1971,2398,Completed,app
35.0,3528.0,invalid_date,R -200,Completed,app
36.0,4850.0,1988/01/16,,,web
37.0,4505.0,invalid_date,4634,Done,
38.0,629.0,invalid_date,R 1122,,
39.0,4695.0,invalid_date,R -200,CANCELLED,web
40.0,4505.0,28/02/2025,R -200,Completed,web
41.0,4718.0,,,,store
42.0,4852.0,29/08/1976,2299,CANCELLED,app
43.0,1009.0,1981-06-21,,Done,web
44.0,1462.0,24/08/2022,"R2761,87",Completed,app
45.0,1159.0,,R -200,completed,app
46.0,3921.0,,R 2033,Done,app
47.0,4399.0,,R 842,CANCELLED,web
48.0,2163.0,,"R4192,75",CANCELLED,store
49.0,494.0,24/05/1983,,Done,
50.0,1794.0,,R 4614,,store
51.0,3483.0,2018/11/26,R -200,,app
52.0,135.0,2017-09-30,"R175,68",,web
53.0,1845.0,15/02/2011,3709,Done,store
54.0,2060.0,1981-06-18,R 1192,,
55.0,3304.0,2005-03-24,4823,completed,store
56.0,1194.0,invalid_date,,completed,app
57.0,518.0,invalid_date,"R475,22",CANCELLED,
58.0,4266.0,,"R1949,64",,
59.0,2185.0,2000/06/08,,,
60.0,1275.0,1987/12/13,R 601,Done,app
61.0,3459.0,03/06/1991,,Completed,web
62.0,669.0,invalid_date,1140,Completed,store
63.0,1769.0,invalid_date,R -200,Done,store
64.0,2227.0,2003-05-20,,Completed,app
65.0,3115.0,1981/02/25,R -200,completed,app
66.0,2339.0,invalid_date,R 1092,Completed,web
67.0,3899.0,30/04/1975,R 3613,Done,store
,1271.0,2001/11/11,R -200,Done,
69.0,263.0,16/08/1991,,,web
70.0,1876.0,,"R2307,19",,
71.0,2907.0,10/09/1977,3222,completed,app
72.0,1274.0,invalid_date,R 1739,CANCELLED,store
73.0,3332.0,invalid_date,1898,CANCELLED,
74.0,2036.0,1997-11-14,,Done,
75.0,2709.0,2024-07-28,R 2389,,
76.0,2804.0,08/01/1984,"R4171,20",,store
,,27/02/1990,"R2437,96",,web
78.0,3866.0,,"R4922,31",completed,store
79.0,3965.0,2014/01/26,"R918,62",,store
80.0,866.0,2010/04/06,2875,Completed,
81.0,4221.0,invalid_date,1445,Completed,
82.0,,invalid_date,,CANCELLED,store
83.0,3606.0,02/01/2005,"R4340,35",CANCELLED,store
84.0,190.0,12/11/1971,,CANCELLED,web
85.0,4411.0,1990/01/27,R 2972,CANCELLED,app
86.0,1162.0,16/12/2014,R 4174,Completed,web
87.0,2427.0,19/02/2010,R -200,CANCELLED,
88.0,442.0,1973-08-06,R 1479,Done,store
89.0,3422.0,,"R1006,65",Done,app
90.0,1894.0,1993-01-22,R -200,completed,web
