transaction_id,order_id,payment_method,transaction_amount,transaction_date,success_flag
0.0,660,Card,NaN,2023-03-32,N
1.0,3895,CASH,NaN,2017-08-22,maybe
2.0,3477,Crypto,39,,Y
3.0,999999,Card,1943.8451627977747,13/12/2022,
4.0,3008,Card,271.80952238336477,2023-03-32,N
5.0,4498,card,NaN,02/05/2019,maybe
6.0,3564,CASH,76,2023-03-32,Y
7.0,589,CASH,-376.4531785398731,2023-03-32,Y
8.0,4761,Cash,629.3042861080321,2016-05-01,Y
9.0,3977,,NaN,2023-03-32,maybe
10.0,3499,Crypto,1969.248210572845,,Y
11.0,1434,Crypto,NaN,2006-08-02,maybe
12.0,2743,Cash,NaN,2023-03-32,Y
13.0,4023,card,1925.439004018081,2023-03-32,N
14.0,2207,CASH,NaN,2024-10-25,maybe
15.0,3035,Crypto,4889.090315541168,29/03/2018,maybe
16.0,3464,Crypto,NaN,2014-05-18,maybe
17.0,4077,,NaN,2023-03-32,Y
18.0,472,card,NaN,2023-03-32,N
19.0,4021,Card,608,2023-03-32,maybe
20.0,2405,card,3278.394802858421,22/12/2016,maybe
21.0,1073,Card,NaN,22/03/2016,maybe
22.0,2941,,3956.727455270323,,N
23.0,1982,Crypto,4015.7170548030126,2023-03-32,N
24.0,4714,Cash,2426,2023-03-32,N
25.0,762,card,4447,1989-06-20,Y
26.0,4328,CASH,NaN,2023-03-32,N
27.0,1047,Card,-380.2949321494559,29/11/1995,maybe
28.0,1693,Cash,NaN,2023-03-32,Y
29.0,1140,,NaN,,N
30.0,232,,1928,,N
31.0,17,,2206,24/06/1980,
32.0,423,Crypto,NaN,2007-01-08,maybe
33.0,3919,,2379,2023-03-32,Y
34.0,1323,card,NaN,,
35.0,999999,Cash,NaN,2024-05-16,Y
36.0,2763,CASH,439,,
37.0,1690,card,-740.8684664739012,2023-03-32,Y
38.0,1853,Cash,1767,,
39.0,4546,Card,4709,,Y
40.0,1495,Crypto,691.4783085463232,,Y
41.0,2258,card,1096,23/02/1995,
42.0,2145,Crypto,NaN,,maybe
43.0,67,Cash,-302.37719102885376,06/04/1977,
44.0,3678,Crypto,4163,2023-03-32,
45.0,4881,card,2373,1990-12-12,maybe
46.0,4821,Crypto,-293.16086860674204,18/11/2008,maybe
47.0,3539,Cash,-1259.5629154646635,2023-03-32,N
,2390,,2029.067888685291,25/02/1978,N
49.0,4726,Cash,NaN,,Y
50.0,23,Card,-1943.1792391783686,,
51.0,3503,Crypto,4149,2023-03-32,N
52.0,2315,Cash,1394.405183168376,2023-03-32,
53.0,3694,Cash,216,2024-08-13,Y
54.0,999999,,351,,N
55.0,36,CASH,3646.360520641524,2023-03-32,
56.0,2592,,3281.7023981912134,1977-09-04,N
57.0,1759,Cash,-210.66887213511586,2003-12-02,
58.0,3136,Card,NaN,,maybe
,2941,Cash,4446.057244252119,2023-03-32,
60.0,3977,Cash,717,,N
61.0,526,,4929.517351833769,2005-06-07,
62.0,1456,card,4910,26/12/1981,
63.0,4239,Card,4308,,
64.0,999999,,788.3111738627049,,N
,484,Card,4911,,Y
66.0,1350,Crypto,3235,1992-12-30,maybe
67.0,2420,Crypto,4176.027787201927,12/01/2026,Y
68.0,1120,Crypto,2992,2023-03-32,maybe
69.0,20,Card,2028.2899984805204,2016-12-20,N
70.0,809,CASH,1956.051454586811,07/04/1981,N
71.0,1111,Card,4855,2009-03-16,Y
72.0,247,Cash,4956,18/05/2019,N
73.0,1226,Card,2821.968057202008,,Y
74.0,2074,Card,4915,2007-11-20,maybe
75.0,2144,card,2719,2023-03-32,
76.0,4985,,4897.817263350301,2012-04-13,N
77.0,3215,Card,3084.9796481400117,2020-08-31,maybe
78.0,999999,Card,NaN,1996-02-07,Y
79.0,4344,CASH,936,04/07/2024,maybe
80.0,999999,Cash,NaN,1971-07-29,
81.0,4795,card,NaN,2023-03-32,maybe
82.0,2949,card,NaN,,maybe
83.0,3000,card,3942.8848830627358,20/04/1985,Y
84.0,3533,Cash,1520,,maybe
85.0,4436,card,1.0496107014141671,2018-02-20,maybe
86.0,2770,,3656,03/09/1974,Y
87.0,2786,Cash,NaN,,Y
88.0,999999,CASH,-137.98019184436544,1999-12-06,
89.0,3106,Card,NaN,2014-02-26,maybe
90.0,578,card,1371,,maybe
91.0,9,card,NaN,2023-03-32,maybe
92.0,3709,,2098.7613541460205,,Y
93.0,2819,Crypto,NaN,26/05/1970,Y
94.0,1127,Cash,NaN,,
95.0,1408,CASH,NaN,26/08/1982,Y
96.0,1604,Crypto,3975,2015-05-22,maybe
97.0,734,Card,NaN,2023-03-32,N
98.0,854,Card,2051.1438586290847,2023-03-32,maybe
99.0,4355,card,4394.828158471285,1985-06-24,maybe
100.0,4014,,2484,2023-03-32,maybe
101.0,4446,Cash,355,2023-03-32,N
102.0,3902,,NaN,08/09/1985,Y
103.0,349,card,-699.7062089842286,28/06/2019,N
104.0,2304,Crypto,2104.722114432092,2023-03-32,maybe
105.0,1153,,3179,,
106.0,2591,Crypto,4938,2016-05-16,Y
107.0,905,Cash,-1589.3419387818508,2023-03-32,N
108.0,459,Card,25.408158551392944,19/08/1999,N
109.0,3718,Crypto,NaN,2023-03-32,maybe
110.0,3982,Card,-508.38040904128184,,maybe
111.0,4242,CASH,465.2585732055886,,
112.0,999999,,151.80901008532965,2023-03-32,N
113.0,1866,,NaN,2001-11-30,N
114.0,157,CASH,173,10/03/2025,Y
115.0,999999,card,NaN,,Y
116.0,4671,,1384,2023-03-32,maybe
117.0,1654,CASH,4796,,Y
118.0,4772,Cash,2472.026931385072,26/12/1982,maybe
119.0,2345,card,1739,21/06/2009,maybe
